0.010	0.996
0.132	0.955
0.225	0.910
0.438	0.870
0.590	0.834
0.771	0.784
0.972	0.726
1.195	0.657
1.365	0.608
1.595	0.550
1.772	0.502
2.036	0.440
2.246	0.398
2.538	0.341
2.851	0.294
3.352	0.231
3.853	0.187
4.334	0.156
5.045	0.120
5.836	0.094
6.468	0.078
6.981	0.071

